Item,Year,Value
Potatoes,2018,90321442
Sugar cane,2018,108718971
Wheat,2018,131447224
"Vegetables, fresh nes",2018,174861648
"Rice, paddy",2018,356869353
Maize,2018,257348659
Others ,2018,789124995
