Item,Year,Value
"Fruit, citrus nes",2000,2462971
"Fruit, citrus nes",2010,6821654
"Fruit, citrus nes",2018,7763290
"Fruit, fresh nes",1990,7824224
"Fruit, fresh nes",2000,14433683
"Fruit, fresh nes",2010,19487929
"Fruit, fresh nes",2018,23947947
"Fruit, pome nes",2000,39500
"Fruit, pome nes",2010,91000
"Fruit, pome nes",2018,58313
"Fruit, stone nes",1990,243961
"Fruit, stone nes",2000,326847
"Fruit, stone nes",2010,350479
"Fruit, stone nes",2018,479194
"Fruit, tropical fresh nes",1990,10151075
"Fruit, tropical fresh nes",2000,12702719
"Fruit, tropical fresh nes",2010,17138955
"Fruit, tropical fresh nes",2018,20576803
Garlic,1990,5316074
Garlic,2000,9245547
Garlic,2010,20671098
Garlic,2018,26058952
Ginger,1990,454902
Ginger,2000,894767
Ginger,2010,1461708
Ginger,2018,2277047
Gooseberries,2000,50
Gooseberries,2010,100
Gooseberries,2018,120
"Grain, mixed",1990,33000
"Grain, mixed",2000,10560
"Grain, mixed",2010,1220
"Grain, mixed",2018,78
Grapefruit (inc. pomelos),1990,959526
Grapefruit (inc. pomelos),2000,1356480
Grapefruit (inc. pomelos),2010,4526156
Grapefruit (inc. pomelos),2018,6860971
Grapes,1990,8766953
Grapes,2000,14130399
Grapes,2010,19770201
Grapes,2018,27373751
"Groundnuts, with shell",1990,16293331
"Groundnuts, with shell",2000,23913658
"Groundnuts, with shell",2010,27630498
"Groundnuts, with shell",2018,27224995
"Hazelnuts, with shell",1990,387754
"Hazelnuts, with shell",2000,520138
"Hazelnuts, with shell",2010,702261
"Hazelnuts, with shell",2018,634441
Hemp tow waste,1990,44725
Hemp tow waste,2000,31008
Hemp tow waste,2010,24928
Hemp tow waste,2018,27538
Hempseed,1990,25850
Hempseed,2000,28428
Hempseed,2010,11612
Hempseed,2018,12023
Hops,1990,14452
Hops,2000,16348
Hops,2010,12525
Hops,2018,11121
Jute,1990,2766286
Jute,2000,2655459
Jute,2010,2819354
Jute,2018,3624622
Kapok fruit,1990,314450
Kapok fruit,2000,420380
Kapok fruit,2010,268927
Kapok fruit,2018,274283
Karite nuts (sheanuts),2000,
Karite nuts (sheanuts),2010,
Karite nuts (sheanuts),2018,
Kiwi fruit,1990,76109
Kiwi fruit,2000,958378
Kiwi fruit,2010,1497321
Kiwi fruit,2018,2400981
"Leeks, other alliaceous vegetables",1990,654972
"Leeks, other alliaceous vegetables",2000,750603
"Leeks, other alliaceous vegetables",2010,1142895
"Leeks, other alliaceous vegetables",2018,1314426
Lemons and limes,1990,2149575
Lemons and limes,2000,3365267
Lemons and limes,2010,6587536
Lemons and limes,2018,8288803
Lentils,1990,2076814
Lentils,2000,2038855
Lentils,2010,1991422
Lentils,2018,2994358
Lettuce and chicory,1990,4293382
Lettuce and chicory,2000,9550378
Lettuce and chicory,2010,16228301
Lettuce and chicory,2018,18890955
Linseed,1990,943892
Linseed,2000,608725
Linseed,2010,617605
Linseed,2018,1497625
Lupins,1990,132
Lupins,2000,1200
Lupins,2010,119
Lupins,2018,124
Maize,1990,132715174
Maize,2000,149092218
Maize,2010,253788947
Maize,2018,361564957
"Maize, green",1990,957211
"Maize, green",2000,809272
"Maize, green",2010,1126476
"Maize, green",2018,1311374
"Mangoes, mangosteens, guavas",1990,12833405
"Mangoes, mangosteens, guavas",2000,18968341
"Mangoes, mangosteens, guavas",2010,28320963
"Mangoes, mangosteens, guavas",2018,40399823
Manila fibre (abaca),1990,59918
Manila fibre (abaca),2000,77678
Manila fibre (abaca),2010,67004
Manila fibre (abaca),2018,67516
"Melons, other (inc.cantaloupes)",1990,8314068
"Melons, other (inc.cantaloupes)",2000,13271406
"Melons, other (inc.cantaloupes)",2010,17949438
"Melons, other (inc.cantaloupes)",2018,19959023
Melonseed,1990,38637
Melonseed,2000,48154
Melonseed,2010,47167
Melonseed,2018,62713
Millet,1990,15794412
Millet,2000,13097666
Millet,2010,15998353
Millet,2018,14381318
Mushrooms and truffles,1990,797103
Mushrooms and truffles,2000,2602316
Mushrooms and truffles,2010,5170628
Mushrooms and truffles,2018,7031724
Mustard seed,1990,112020
Mustard seed,2000,182932
Mustard seed,2010,264301
Mustard seed,2018,294835
"Nutmeg, mace and cardamoms",1990,38024
"Nutmeg, mace and cardamoms",2000,47398
"Nutmeg, mace and cardamoms",2010,41324
"Nutmeg, mace and cardamoms",2018,68119
Nuts nes,1990,111370
Nuts nes,2000,205589
Nuts nes,2010,298660
Nuts nes,2018,366828
Oats,1990,1249431
Oats,2000,1538513
Oats,2010,897769
Oats,2018,1648982
Oil palm fruit,1990,44034564
Oil palm fruit,2000,97367923
Oil palm fruit,2010,190503633
Oil palm fruit,2018,230420117
Oilseeds nes,1990,982463
Oilseeds nes,2000,1394261
Oilseeds nes,2010,2079977
Oilseeds nes,2018,3628241
Okra,1990,2616911
Okra,2000,3769911
Okra,2010,5268956
Okra,2018,6509336
Olives,1990,1771270
Olives,2000,3268744
Olives,2010,3033361
Olives,2018,2450847
"Onions, dry",1990,15297743
"Onions, dry",2000,30671420
"Onions, dry",2010,51635576
"Onions, dry",2018,65319706
"Onions, shallots, green",1990,1758477
"Onions, shallots, green",2000,2190455
"Onions, shallots, green",2010,2679095
"Onions, shallots, green",2018,2535512
Oranges,1990,9269458
Oranges,2000,11206852
Oranges,2010,21885590
Oranges,2018,28342713
Papayas,1990,1219575
Papayas,2000,3074760
Papayas,2010,5635711
Papayas,2018,7651737
Peaches and nectarines,1990,2415343
Peaches and nectarines,2000,5499450
Peaches and nectarines,2010,12760458
Peaches and nectarines,2018,18038335
Pears,1990,4061792
Pears,2000,10436858
Pears,2010,17102801
Pears,2018,18143606
"Peas, dry",1990,2276785
"Peas, dry",2000,1993371
"Peas, dry",2010,1815793
"Peas, dry",2018,2775276
"Peas, green",1990,3233219
"Peas, green",2000,8661202
"Peas, green",2010,13219927
"Peas, green",2018,18780647
Pepper (piper spp.),1990,202059
Pepper (piper spp.),2000,251497
Pepper (piper spp.),2010,334074
Pepper (piper spp.),2018,540915
